Block Dim,Size,Steps,Time
4,256,100,100,458.301
4,256,1000,100,474.464
4,256,2000,100,505.127
4,256,100,1000,4546.784
4,256,1000,1000,4706.944
4,256,2000,1000,5014.381
4,256,100,10000,45698.949
4,256,1000,10000,47047.078
4,256,2000,10000,49992.352
4,256,100,100000,445655.594
4,256,1000,100000,468449.812
4,256,2000,100000,501137.031
8,126,100,100,421.156
8,126,1000,100,475.849
8,126,2000,100,511.239
8,126,100,1000,4582.521
8,126,1000,1000,4710.59
8,126,2000,1000,5033.29
8,126,100,10000,40571.789
8,126,1000,10000,47047.141
8,126,2000,10000,50255.668
8,126,100,100000,441985.531
8,126,1000,100000,469245.438
8,126,2000,100000,502696.188
16,64,100,100,462.765
16,64,1000,100,477.476
16,64,2000,100,514.465
16,64,100,1000,4516.707
16,64,1000,1000,4722.947
16,64,2000,1000,5081.395
16,64,100,10000,45720.352
16,64,1000,10000,47234.938
16,64,2000,10000,50670.863
16,64,100,100000,447631.062
16,64,1000,100000,469904.469
16,64,2000,100000,508339.656
32,32,100,100,461.52
32,32,1000,100,483.703
32,32,2000,100,549.235
32,32,100,1000,4583.285
32,32,1000,1000,4828.854
32,32,2000,1000,5450.304
32,32,100,10000,45743.98
32,32,1000,10000,48270.859
32,32,2000,10000,54483.594
32,32,100,100000,444581.562
32,32,1000,100000,481960.656
32,32,2000,100000,544399.0
64,16,100,100,461.066
64,16,1000,100,484.503
64,16,2000,100,546.084
64,16,100,1000,4581.335
64,16,1000,1000,4831.66
64,16,2000,1000,5443.014
64,16,100,10000,41647.891
64,16,1000,10000,48267.117
64,16,2000,10000,54364.484
64,16,100,100000,445172.906
64,16,1000,100000,481990.406
64,16,2000,100000,543602.938
128,8,100,100,425.976
128,8,1000,100,488.536
128,8,2000,100,547.101
128,8,100,1000,4578.743
128,8,1000,1000,4832.119
128,8,2000,1000,5444.092
128,8,100,10000,45650.367
128,8,1000,10000,47987.488
128,8,2000,10000,54456.543
128,8,100,100000,448711.312
128,8,1000,100000,481643.312
128,8,2000,100000,544161.312
256,4,100,100,461.954
256,4,1000,100,487.337
256,4,2000,100,551.132
256,4,100,1000,4541.861
256,4,1000,1000,4829.228
256,4,2000,1000,5444.631
256,4,100,10000,45727.109
256,4,1000,10000,48286.688
256,4,2000,10000,54371.23
256,4,100,100000,448256.438
256,4,1000,100000,481991.188
256,4,2000,100000,543877.25
